in,em,ba,hs,en,ag,hh,he,be,ci,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
YES,*,YES,YES,YES,*,YES,*,*,*,46,751,"6,530,517","407,860",0.0625
YES,*,YES,*,YES,*,YES,*,*,*,46,751,"6,530,517","407,860",0.0625
NO,*,*,YES,*,NO,NO,YES,YES,*,641,750,"5,060,895","4,376,186",0.8647
NO,YES,*,YES,*,NO,NO,YES,NO,YES,2,749,"5,109,957","11,668",0.0023
NO,*,NO,*,YES,*,YES,YES,NO,YES,0,749,"4,701,133",0,0.0000
*,*,*,YES,*,NO,*,NO,YES,YES,675,749,"4,449,568","4,019,912",0.9034
NO,*,*,*,*,YES,*,NO,*,*,430,749,"3,610,904","2,153,280",0.5963
NO,NO,*,*,*,*,NO,NO,YES,YES,710,748,"3,775,367","3,573,113",0.9464
NO,*,*,YES,*,NO,YES,*,*,YES,311,748,"4,654,828","1,911,602",0.4107
NO,NO,NO,NO,YES,YES,*,YES,NO,*,2,748,"4,690,336","3,315",0.0007
NO,NO,*,NO,YES,YES,*,YES,NO,*,2,748,"4,690,336","3,315",0.0007
NO,NO,NO,*,YES,NO,NO,YES,*,YES,347,747,"4,534,610","2,140,642",0.4721
YES,NO,*,YES,YES,*,YES,*,*,YES,142,747,"5,844,733","1,020,855",0.1747
YES,YES,*,*,YES,*,NO,*,YES,*,609,747,"5,655,446","4,690,642",0.8294
*,YES,*,*,*,*,NO,*,*,NO,102,746,"6,435,347","864,882",0.1344
NO,YES,NO,*,*,*,NO,YES,NO,YES,1,746,"4,898,908","1,910",0.0004
NO,NO,NO,*,*,YES,NO,*,NO,YES,3,746,"4,139,965","6,450",0.0016
*,*,YES,YES,YES,*,NO,NO,*,*,98,746,"4,850,736","621,094",0.1280
*,*,YES,*,YES,*,NO,NO,*,*,98,746,"4,850,736","621,094",0.1280
YES,NO,YES,YES,*,NO,*,YES,NO,YES,0,745,"6,269,797",0,0.0000
YES,NO,YES,*,*,NO,*,YES,NO,YES,0,745,"6,269,797",0,0.0000
*,*,NO,*,YES,NO,NO,NO,YES,YES,677,745,"4,098,888","3,692,370",0.9008
YES,NO,NO,*,YES,NO,*,NO,*,YES,266,745,"4,460,047","1,490,693",0.3342
NO,NO,NO,YES,*,*,NO,*,NO,YES,2,744,"4,175,766","12,062",0.0029
NO,*,NO,*,YES,NO,NO,YES,YES,YES,639,744,"4,726,728","4,110,654",0.8697
*,NO,*,YES,*,YES,*,*,YES,YES,671,744,"4,028,898","3,584,311",0.8897
*,YES,NO,*,*,*,*,YES,*,NO,137,743,"5,719,259","1,039,718",0.1818
NO,YES,NO,YES,*,*,NO,*,NO,YES,1,743,"4,888,740","1,910",0.0004
*,NO,*,*,*,NO,YES,*,NO,YES,2,743,"5,838,998","22,322",0.0038
*,NO,*,YES,YES,*,YES,*,NO,YES,0,743,"5,631,049",0,0.0000
YES,*,NO,NO,*,NO,*,*,NO,YES,3,743,"5,199,497","25,113",0.0048
YES,*,*,NO,*,NO,*,*,NO,YES,3,743,"5,199,497","25,113",0.0048
YES,YES,*,*,YES,NO,*,YES,YES,*,613,743,"5,819,666","4,904,066",0.8427
YES,NO,YES,YES,YES,NO,*,YES,NO,YES,0,742,"6,248,367",0,0.0000
YES,NO,YES,*,YES,NO,*,YES,NO,YES,0,742,"6,248,367",0,0.0000
*,*,*,YES,YES,NO,*,NO,YES,YES,668,742,"4,405,402","3,975,746",0.9025
YES,NO,NO,*,YES,*,YES,*,YES,YES,659,742,"5,006,229","4,397,416",0.8784
*,*,YES,YES,*,*,NO,NO,*,YES,98,742,"4,820,052","631,127",0.1309
*,*,YES,*,*,*,NO,NO,*,YES,98,742,"4,820,052","631,127",0.1309
NO,NO,NO,YES,*,*,*,NO,*,YES,424,742,"3,770,001","2,162,114",0.5735
YES,NO,*,*,*,NO,YES,*,*,YES,154,742,"5,990,539","1,135,860",0.1896
*,NO,*,*,YES,NO,YES,YES,NO,*,1,742,"5,893,843","11,112",0.0019
NO,YES,*,YES,YES,NO,NO,YES,NO,YES,2,741,"5,031,531","11,668",0.0023
NO,*,NO,NO,YES,YES,*,YES,NO,YES,2,741,"4,656,477","3,315",0.0007
NO,*,*,NO,YES,YES,*,YES,NO,YES,2,741,"4,656,477","3,315",0.0007
*,*,YES,YES,*,*,YES,YES,NO,*,0,741,"6,340,316",0,0.0000
*,*,YES,*,*,*,YES,YES,NO,*,0,741,"6,340,316",0,0.0000
NO,YES,NO,YES,*,NO,NO,*,NO,*,1,741,"4,990,634","1,910",0.0004
NO,*,*,YES,*,*,YES,YES,*,*,264,741,"4,645,130","1,596,200",0.3436
NO,NO,NO,YES,YES,*,NO,*,NO,YES,2,740,"4,149,115","12,062",0.0029
*,YES,NO,YES,*,*,NO,YES,YES,YES,610,740,"5,236,207","4,428,597",0.8458
NO,NO,NO,YES,*,NO,*,*,YES,YES,666,740,"4,304,991","3,877,010",0.9006
NO,*,*,*,YES,NO,YES,YES,*,YES,298,740,"4,524,998","1,767,375",0.3906
*,YES,NO,NO,YES,*,*,YES,*,YES,130,740,"4,801,744","808,119",0.1683
*,YES,*,NO,YES,*,*,YES,*,YES,130,740,"4,801,744","808,119",0.1683
*,YES,*,YES,*,NO,NO,NO,NO,*,2,740,"5,199,673","30,298",0.0058
*,NO,*,*,YES,NO,*,NO,NO,*,4,740,"4,537,485","29,086",0.0064
*,*,YES,YES,*,NO,YES,*,NO,*,0,740,"6,367,953",0,0.0000
*,*,YES,*,*,NO,YES,*,NO,*,0,740,"6,367,953",0,0.0000
*,NO,NO,YES,*,*,NO,NO,YES,*,683,740,"3,861,242","3,533,043",0.9150
NO,YES,NO,*,*,NO,*,*,YES,*,616,740,"4,854,806","4,089,571",0.8424
*,*,*,YES,*,NO,*,YES,NO,NO,0,739,"6,905,085",0,0.0000
NO,NO,NO,NO,*,YES,*,YES,NO,YES,2,739,"4,661,320","3,315",0.0007
NO,NO,*,NO,*,YES,*,YES,NO,YES,2,739,"4,661,320","3,315",0.0007
NO,NO,*,YES,*,*,*,YES,NO,YES,1,739,"4,683,460","3,134",0.0007
NO,NO,NO,*,YES,YES,NO,*,NO,YES,3,739,"4,100,088","6,450",0.0016
YES,YES,*,YES,YES,NO,*,*,YES,YES,605,739,"5,703,054","4,777,349",0.8377
NO,NO,*,YES,*,NO,NO,YES,*,YES,310,739,"4,760,848","1,994,947",0.4190
*,*,*,YES,*,NO,YES,*,YES,*,637,739,"5,113,185","4,402,172",0.8609
NO,*,*,*,*,NO,NO,NO,*,*,440,739,"4,026,049","2,334,084",0.5797
*,YES,*,*,YES,NO,*,YES,*,NO,95,738,"6,425,751","826,275",0.1286
*,*,YES,YES,*,*,YES,*,NO,YES,0,738,"6,250,119",0,0.0000
*,*,YES,*,*,*,YES,*,NO,YES,0,738,"6,250,119",0,0.0000
NO,NO,NO,*,*,NO,NO,*,YES,YES,682,738,"4,172,597","3,840,949",0.9205
*,YES,NO,NO,*,*,NO,*,*,YES,133,738,"4,527,155","818,474",0.1808
*,YES,*,NO,*,*,NO,*,*,YES,133,738,"4,527,155","818,474",0.1808
*,*,*,*,*,YES,NO,NO,YES,*,697,738,"3,690,927","3,475,950",0.9418
*,NO,NO,*,YES,NO,*,NO,YES,*,682,738,"3,949,576","3,625,106",0.9178
NO,NO,NO,YES,YES,*,*,NO,*,*,418,738,"3,752,463","2,141,548",0.5707
NO,NO,*,YES,*,YES,*,*,*,*,315,738,"3,840,825","1,575,013",0.4101
NO,NO,*,YES,YES,NO,NO,YES,*,YES,310,737,"4,746,936","1,994,947",0.4203
*,NO,NO,YES,YES,*,YES,YES,*,YES,201,737,"5,411,822","1,285,717",0.2376
YES,*,NO,NO,YES,NO,*,YES,*,YES,136,737,"5,194,780","925,260",0.1781
YES,*,*,NO,YES,NO,*,YES,*,YES,136,737,"5,194,780","925,260",0.1781
NO,*,*,YES,YES,NO,NO,YES,YES,*,631,737,"4,961,421","4,303,311",0.8674
YES,YES,*,YES,*,NO,NO,NO,*,*,72,737,"5,312,526","576,570",0.1085
*,*,NO,NO,YES,YES,NO,NO,*,*,308,737,"3,522,167","1,522,192",0.4322
*,*,*,NO,YES,YES,NO,NO,*,*,308,737,"3,522,167","1,522,192",0.4322
*,NO,*,*,*,NO,*,NO,NO,YES,4,736,"4,529,628","29,086",0.0064
NO,*,NO,NO,*,*,NO,*,NO,*,3,736,"4,337,007","8,661",0.0020
NO,*,*,NO,*,*,NO,*,NO,*,3,736,"4,337,007","8,661",0.0020
YES,YES,*,YES,YES,*,*,YES,YES,*,604,736,"5,717,202","4,784,729",0.8369
*,NO,NO,NO,*,YES,NO,NO,*,*,338,736,"3,603,965","1,730,322",0.4801
*,NO,*,NO,*,YES,NO,NO,*,*,338,736,"3,603,965","1,730,322",0.4801
YES,*,*,*,YES,NO,*,*,*,NO,76,735,"6,938,088","704,401",0.1015
YES,NO,NO,NO,*,*,NO,YES,YES,YES,653,735,"4,880,071","4,289,296",0.8789
YES,NO,*,NO,*,*,NO,YES,YES,YES,653,735,"4,880,071","4,289,296",0.8789
NO,YES,*,*,*,*,*,*,YES,YES,616,735,"4,758,961","4,053,092",0.8517
YES,YES,NO,*,*,NO,*,*,YES,*,624,735,"5,496,982","4,715,206",0.8578
YES,*,NO,NO,YES,*,*,NO,*,*,235,735,"3,818,284","1,187,490",0.3110
YES,*,*,NO,YES,*,*,NO,*,*,235,735,"3,818,284","1,187,490",0.3110
*,*,NO,NO,*,NO,NO,*,NO,YES,1,734,"4,683,745","5,346",0.0011
*,*,*,NO,*,NO,NO,*,NO,YES,1,734,"4,683,745","5,346",0.0011
NO,YES,NO,YES,YES,*,NO,*,NO,YES,1,734,"4,798,773","1,910",0.0004
*,*,YES,YES,YES,*,YES,*,NO,YES,0,734,"6,217,153",0,0.0000
*,*,YES,*,YES,*,YES,*,NO,YES,0,734,"6,217,153",0,0.0000
*,*,YES,YES,YES,*,NO,NO,*,YES,94,734,"4,759,000","587,682",0.1235
*,*,YES,*,YES,*,NO,NO,*,YES,94,734,"4,759,000","587,682",0.1235
*,NO,*,*,YES,YES,*,NO,YES,*,692,734,"3,557,996","3,325,478",0.9346
*,*,NO,*,*,NO,YES,YES,YES,*,633,734,"4,959,625","4,257,007",0.8583
YES,*,*,*,*,*,NO,YES,*,NO,69,733,"6,942,573","638,468",0.0920
*,NO,*,*,YES,NO,YES,*,NO,YES,2,733,"5,777,511","22,322",0.0039
YES,YES,NO,*,*,*,*,*,YES,YES,614,733,"5,343,153","4,527,218",0.8473
*,*,YES,YES,YES,*,YES,YES,NO,*,0,733,"6,279,061",0,0.0000
*,*,YES,*,YES,*,YES,YES,NO,*,0,733,"6,279,061",0,0.0000
*,*,YES,YES,YES,NO,YES,*,NO,*,0,733,"6,314,610",0,0.0000
*,*,YES,*,YES,NO,YES,*,NO,*,0,733,"6,314,610",0,0.0000
NO,NO,*,YES,YES,*,*,YES,NO,YES,1,732,"4,642,589","3,134",0.0007
*,NO,NO,*,*,NO,*,NO,YES,YES,680,732,"3,882,533","3,584,159",0.9231
*,NO,*,YES,*,NO,NO,YES,YES,*,643,732,"5,137,876","4,490,775",0.8741
YES,NO,NO,NO,YES,*,NO,YES,YES,*,650,732,"4,888,326","4,298,086",0.8793
YES,NO,*,NO,YES,*,NO,YES,YES,*,650,732,"4,888,326","4,298,086",0.8793
YES,NO,*,YES,*,NO,*,NO,*,*,221,732,"4,512,041","1,287,786",0.2854
NO,YES,NO,*,YES,*,NO,YES,NO,YES,1,731,"4,756,295","1,910",0.0004
YES,*,NO,*,*,*,*,NO,YES,YES,667,731,"4,010,142","3,639,747",0.9076
NO,NO,NO,YES,YES,NO,*,*,YES,YES,657,731,"4,262,463","3,834,482",0.8996
NO,*,NO,YES,*,YES,*,*,*,*,286,731,"3,701,668","1,378,827",0.3725
YES,YES,*,*,*,*,*,*,*,NO,84,730,"6,468,116","723,521",0.1119
*,YES,NO,YES,YES,*,NO,YES,YES,YES,601,730,"5,145,767","4,350,220",0.8454
YES,NO,*,*,YES,NO,YES,*,*,YES,148,730,"5,893,208","1,082,909",0.1838
*,YES,*,YES,YES,NO,NO,NO,NO,*,2,730,"5,100,064","30,298",0.0059
*,YES,NO,*,*,NO,*,NO,NO,*,1,730,"4,941,961","5,021",0.0010
NO,NO,NO,*,*,*,NO,NO,YES,*,692,730,"3,666,644","3,467,044",0.9456
YES,YES,NO,NO,*,NO,*,*,*,*,103,730,"5,249,775","744,797",0.1419
YES,YES,*,NO,*,NO,*,*,*,*,103,730,"5,249,775","744,797",0.1419
NO,NO,NO,NO,YES,YES,*,YES,NO,YES,2,729,"4,601,939","3,315",0.0007
NO,NO,*,NO,YES,YES,*,YES,NO,YES,2,729,"4,601,939","3,315",0.0007
*,*,*,YES,*,*,YES,*,YES,YES,630,729,"4,950,207","4,241,990",0.8569
NO,NO,NO,YES,YES,*,*,NO,*,YES,413,729,"3,694,905","2,103,823",0.5694
*,YES,NO,YES,*,NO,NO,YES,YES,*,603,729,"5,260,167","4,461,156",0.8481
YES,*,YES,YES,*,*,YES,*,*,YES,46,728,"6,305,314","404,478",0.0641
YES,*,YES,*,*,*,YES,*,*,YES,46,728,"6,305,314","404,478",0.0641
YES,NO,*,*,*,NO,NO,*,YES,*,636,728,"4,878,541","4,248,081",0.8708
*,NO,NO,YES,*,*,NO,NO,YES,YES,672,727,"3,769,403","3,447,351",0.9146
NO,NO,NO,*,YES,NO,NO,*,YES,YES,672,727,"4,119,279","3,791,261",0.9204
YES,YES,*,*,*,*,NO,*,YES,YES,591,727,"5,431,761","4,489,602",0.8265
*,*,NO,NO,YES,YES,NO,NO,*,YES,305,727,"3,451,068","1,506,388",0.4365
*,*,*,NO,YES,YES,NO,NO,*,YES,305,727,"3,451,068","1,506,388",0.4365
NO,*,*,YES,YES,NO,YES,*,*,YES,303,727,"4,515,714","1,869,631",0.4140
*,NO,*,YES,YES,YES,*,*,YES,*,653,727,"3,889,714","3,441,934",0.8849
NO,YES,NO,*,YES,*,*,*,YES,*,604,727,"4,690,325","3,944,407",0.8410
*,NO,*,*,YES,NO,*,NO,NO,YES,4,726,"4,437,114","29,086",0.0066
NO,*,*,*,*,YES,*,NO,*,YES,415,726,"3,460,050","2,058,598",0.5950
YES,YES,*,YES,*,NO,*,NO,NO,*,2,726,"5,194,226","30,298",0.0058
*,*,NO,NO,*,*,*,NO,YES,*,693,726,"3,694,319","3,512,289",0.9507
*,*,*,NO,*,*,*,NO,YES,*,693,726,"3,694,319","3,512,289",0.9507
*,NO,*,YES,YES,NO,NO,YES,YES,*,637,726,"5,094,499","4,447,398",0.8730
YES,NO,*,YES,YES,NO,*,NO,*,*,219,726,"4,453,595","1,257,424",0.2823
YES,NO,*,*,*,NO,YES,YES,*,*,130,726,"5,936,513","1,016,633",0.1713
*,*,NO,NO,*,NO,YES,*,*,*,253,726,"5,022,986","1,603,778",0.3193
*,*,*,NO,*,NO,YES,*,*,*,253,726,"5,022,986","1,603,778",0.3193
NO,NO,*,YES,*,YES,*,*,*,YES,311,725,"3,747,494","1,538,223",0.4105
NO,NO,NO,*,YES,NO,*,*,NO,*,2,725,"4,435,344","14,273",0.0032
YES,YES,*,YES,YES,NO,NO,NO,*,*,67,725,"5,208,737","541,864",0.1040
*,NO,*,*,YES,YES,*,NO,YES,YES,682,724,"3,510,475","3,277,957",0.9338
YES,NO,*,YES,*,NO,*,NO,*,YES,217,724,"4,457,205","1,250,802",0.2806
NO,*,NO,YES,*,YES,*,*,*,YES,285,724,"3,662,324","1,370,496",0.3742
YES,YES,NO,*,*,*,NO,NO,NO,*,1,724,"4,667,354","5,021",0.0011
YES,*,NO,*,YES,*,*,NO,YES,*,658,724,"3,970,288","3,576,364",0.9008
YES,NO,*,YES,*,NO,*,*,YES,*,633,724,"5,097,575","4,431,302",0.8693
YES,*,YES,YES,YES,*,YES,*,*,YES,45,723,"6,264,365","396,495",0.0633
YES,*,YES,*,YES,*,YES,*,*,YES,45,723,"6,264,365","396,495",0.0633
NO,NO,*,*,YES,*,NO,NO,YES,*,684,723,"3,601,982","3,394,779",0.9425
*,*,*,*,YES,NO,NO,YES,*,NO,78,722,"6,732,972","726,279",0.1079
YES,NO,YES,YES,*,NO,NO,*,NO,YES,0,722,"5,885,895",0,0.0000
YES,NO,YES,*,*,NO,NO,*,NO,YES,0,722,"5,885,895",0,0.0000
YES,*,NO,NO,YES,NO,NO,*,*,YES,167,722,"4,713,491","1,022,280",0.2169
YES,*,*,NO,YES,NO,NO,*,*,YES,167,722,"4,713,491","1,022,280",0.2169
*,*,*,*,YES,NO,YES,YES,YES,*,621,722,"4,970,311","4,281,900",0.8615
YES,NO,*,*,*,*,YES,YES,YES,*,639,722,"5,028,376","4,420,857",0.8792
*,NO,NO,NO,*,NO,NO,*,*,*,329,722,"4,303,005","1,797,776",0.4178
*,NO,*,NO,*,NO,NO,*,*,*,329,722,"4,303,005","1,797,776",0.4178
*,NO,NO,*,YES,NO,*,NO,YES,YES,669,721,"3,840,395","3,542,020",0.9223
YES,NO,*,YES,YES,NO,*,NO,*,YES,216,721,"4,427,937","1,242,819",0.2807
NO,YES,NO,YES,YES,NO,NO,*,NO,*,1,721,"4,822,389","1,910",0.0004
*,NO,NO,YES,YES,*,NO,NO,YES,*,665,721,"3,722,486","3,395,486",0.9122
*,NO,NO,*,*,YES,*,NO,YES,YES,682,720,"3,547,992","3,349,318",0.9440
*,YES,NO,YES,*,*,NO,NO,NO,*,1,720,"4,693,088","5,021",0.0011
YES,*,YES,YES,*,*,YES,YES,*,*,41,720,"6,305,050","366,960",0.0582
YES,*,YES,*,*,*,YES,YES,*,*,41,720,"6,305,050","366,960",0.0582
*,YES,*,YES,*,NO,NO,NO,NO,YES,1,719,"5,017,312","25,277",0.0050
YES,NO,YES,YES,YES,NO,NO,*,NO,YES,0,719,"5,864,464",0,0.0000
YES,NO,YES,*,YES,NO,NO,*,NO,YES,0,719,"5,864,464",0,0.0000
YES,NO,NO,NO,YES,*,NO,YES,YES,YES,638,719,"4,776,163","4,192,928",0.8779
YES,NO,*,NO,YES,*,NO,YES,YES,YES,638,719,"4,776,163","4,192,928",0.8779
*,NO,*,YES,YES,YES,*,*,YES,YES,646,719,"3,829,494","3,384,908",0.8839
*,*,YES,YES,*,NO,YES,YES,*,YES,48,719,"6,233,560","431,055",0.0692
*,*,YES,*,*,NO,YES,YES,*,YES,48,719,"6,233,560","431,055",0.0692
*,*,NO,*,YES,NO,*,YES,*,NO,144,718,"5,697,115","1,182,541",0.2076
YES,*,*,YES,*,*,*,*,*,NO,78,718,"6,946,282","721,228",0.1038
YES,YES,*,*,*,NO,*,YES,YES,YES,592,718,"5,572,162","4,670,356",0.8382
NO,YES,*,*,YES,*,*,*,YES,YES,601,718,"4,647,288","3,960,166",0.8521
YES,YES,*,YES,YES,NO,*,NO,NO,*,2,718,"5,113,888","30,298",0.0059
*,NO,NO,YES,YES,NO,YES,YES,*,*,201,718,"5,455,073","1,329,061",0.2436
*,*,NO,*,YES,YES,*,NO,YES,*,675,717,"3,452,896","3,239,131",0.9381
YES,YES,NO,*,*,NO,*,NO,*,*,94,717,"4,980,289","666,968",0.1339
YES,*,YES,YES,*,*,*,NO,*,*,66,717,"4,760,804","467,412",0.0982
YES,*,YES,*,*,*,*,NO,*,*,66,717,"4,760,804","467,412",0.0982
NO,*,*,YES,*,NO,YES,YES,*,*,255,717,"4,553,625","1,566,434",0.3440
*,*,*,*,YES,*,NO,YES,NO,NO,0,716,"6,569,046",0,0.0000
YES,*,*,*,YES,*,*,YES,NO,NO,0,716,"6,741,452",0,0.0000
*,NO,YES,YES,*,NO,NO,YES,NO,YES,0,716,"5,951,251",0,0.0000
*,NO,YES,*,*,NO,NO,YES,NO,YES,0,716,"5,951,251",0,0.0000
YES,NO,YES,YES,*,NO,NO,YES,NO,*,0,716,"6,279,928",0,0.0000
YES,NO,YES,*,*,NO,NO,YES,NO,*,0,716,"6,279,928",0,0.0000
*,NO,*,YES,*,*,YES,YES,NO,*,0,716,"5,598,611",0,0.0000
YES,NO,*,*,YES,NO,NO,*,YES,*,625,716,"4,792,362","4,163,101",0.8687
NO,NO,*,*,YES,*,NO,NO,YES,YES,677,715,"3,554,213","3,351,959",0.9431
YES,YES,*,YES,*,*,*,YES,YES,YES,586,715,"5,493,367","4,572,680",0.8324
*,*,YES,YES,YES,NO,YES,YES,*,YES,46,715,"6,203,023","417,491",0.0673
*,*,YES,*,YES,NO,YES,YES,*,YES,46,715,"6,203,023","417,491",0.0673
*,*,NO,NO,*,*,*,NO,NO,*,2,715,"3,758,806","20,874",0.0056
*,*,*,NO,*,*,*,NO,NO,*,2,715,"3,758,806","20,874",0.0056
NO,*,NO,YES,YES,NO,YES,*,*,*,301,715,"4,450,806","1,817,689",0.4084
*,YES,*,YES,YES,NO,NO,NO,NO,YES,1,714,"4,972,821","25,277",0.0051
YES,YES,*,YES,*,NO,NO,NO,*,YES,65,714,"5,116,927","522,224",0.1021
NO,NO,*,YES,*,NO,*,*,NO,*,1,714,"4,594,281","8,927",0.0019
YES,NO,*,YES,*,*,*,YES,YES,*,605,714,"5,148,668","4,358,073",0.8464
YES,NO,*,YES,YES,NO,*,*,YES,*,624,714,"5,011,208","4,346,133",0.8673
*,NO,YES,YES,YES,NO,NO,YES,NO,YES,0,713,"5,929,820",0,0.0000
*,NO,YES,*,YES,NO,NO,YES,NO,YES,0,713,"5,929,820",0,0.0000
*,*,*,*,*,YES,NO,NO,YES,YES,673,713,"3,537,915","3,328,195",0.9407
*,NO,NO,YES,YES,*,NO,NO,YES,YES,658,713,"3,676,640","3,354,588",0.9124
NO,NO,NO,*,*,*,NO,NO,YES,YES,676,713,"3,562,577","3,367,925",0.9454
YES,YES,*,*,YES,*,NO,*,YES,YES,577,713,"5,304,437","4,362,278",0.8224
*,NO,NO,NO,*,YES,NO,NO,*,YES,322,713,"3,454,535","1,637,626",0.4741
*,NO,*,NO,*,YES,NO,NO,*,YES,322,713,"3,454,535","1,637,626",0.4741
*,YES,NO,NO,YES,NO,*,*,NO,*,1,713,"4,904,577","2,791",0.0006
*,YES,*,NO,YES,NO,*,*,NO,*,1,713,"4,904,577","2,791",0.0006
*,*,NO,YES,*,*,YES,*,YES,*,613,713,"4,752,734","4,051,329",0.8524
NO,*,*,*,YES,NO,NO,NO,*,*,428,713,"3,875,267","2,279,557",0.5882
NO,*,NO,*,*,YES,*,NO,*,*,407,713,"3,395,335","2,021,523",0.5954
NO,NO,*,YES,YES,YES,*,*,*,*,297,713,"3,664,855","1,443,682",0.3939
*,*,NO,*,YES,*,*,*,NO,NO,1,712,"5,626,988","5,021",0.0009
*,*,NO,*,*,*,NO,YES,*,NO,138,711,"5,621,129","1,052,173",0.1872
YES,YES,*,*,*,NO,NO,NO,NO,*,2,711,"5,010,641","30,298",0.0060
NO,YES,NO,YES,*,*,NO,YES,NO,*,1,711,"4,793,091","1,910",0.0004
*,YES,NO,YES,YES,NO,NO,YES,YES,*,588,711,"5,106,426","4,334,014",0.8487
NO,NO,*,YES,*,*,NO,NO,*,*,407,711,"3,623,161","2,084,750",0.5754
YES,*,YES,YES,YES,*,YES,YES,*,*,39,711,"6,231,375","348,121",0.0559
YES,*,YES,*,YES,*,YES,YES,*,*,39,711,"6,231,375","348,121",0.0559
NO,*,NO,YES,YES,YES,*,*,*,*,273,711,"3,565,682","1,290,678",0.3620
*,YES,NO,YES,YES,*,NO,NO,NO,*,1,710,"4,581,207","5,021",0.0011
*,NO,NO,*,*,NO,YES,*,NO,*,2,710,"5,428,438","22,322",0.0041
*,*,NO,NO,YES,NO,*,*,YES,*,635,710,"4,213,759","3,744,582",0.8887
*,*,*,NO,YES,NO,*,*,YES,*,635,710,"4,213,759","3,744,582",0.8887
YES,*,NO,NO,YES,*,*,NO,*,YES,226,709,"3,624,082","1,129,295",0.3116
YES,*,*,NO,YES,*,*,NO,*,YES,226,709,"3,624,082","1,129,295",0.3116
YES,NO,NO,*,*,*,YES,YES,YES,*,626,709,"4,937,565","4,330,047",0.8770
YES,*,YES,YES,YES,*,*,NO,*,*,64,709,"4,711,909","453,857",0.0963
YES,*,YES,*,YES,*,*,NO,*,*,64,709,"4,711,909","453,857",0.0963
YES,YES,*,YES,*,NO,*,NO,NO,YES,1,708,"5,041,308","25,277",0.0050
YES,YES,NO,*,YES,*,*,*,YES,YES,590,708,"5,135,802","4,337,182",0.8445
NO,*,NO,YES,*,*,YES,*,*,YES,302,708,"4,250,209","1,770,137",0.4165
*,*,NO,YES,*,NO,*,NO,YES,*,632,708,"4,156,381","3,721,860",0.8955
YES,*,NO,YES,*,NO,NO,YES,YES,*,606,708,"5,284,440","4,595,773",0.8697
*,NO,*,YES,*,YES,NO,*,YES,*,638,708,"3,863,274","3,455,057",0.8943
YES,YES,NO,YES,*,*,NO,NO,*,*,66,708,"4,704,783","462,324",0.0983
YES,*,YES,YES,*,NO,YES,*,*,*,36,708,"6,272,152","348,964",0.0556
YES,*,YES,*,*,NO,YES,*,*,*,36,708,"6,272,152","348,964",0.0556
YES,YES,*,YES,YES,NO,NO,NO,*,YES,63,707,"5,055,271","505,060",0.0999
NO,*,NO,YES,YES,YES,*,*,*,YES,273,707,"3,546,202","1,290,678",0.3640
*,*,YES,YES,*,NO,YES,YES,NO,*,0,707,"6,122,471",0,0.0000
*,*,YES,*,*,NO,YES,YES,NO,*,0,707,"6,122,471",0,0.0000
YES,*,YES,YES,*,*,YES,*,NO,*,0,707,"6,144,088",0,0.0000
YES,*,YES,*,*,*,YES,*,NO,*,0,707,"6,144,088",0,0.0000
YES,*,*,*,*,*,NO,*,NO,NO,3,706,"6,612,588","24,349",0.0037
*,*,*,YES,YES,*,*,*,NO,NO,1,706,"6,611,457","5,021",0.0008
*,YES,NO,NO,YES,*,*,*,NO,YES,1,706,"4,505,568","2,791",0.0006
*,YES,*,NO,YES,*,*,*,NO,YES,1,706,"4,505,568","2,791",0.0006
*,*,NO,*,YES,YES,*,NO,YES,YES,664,706,"3,399,397","3,185,632",0.9371
NO,*,*,YES,*,NO,NO,YES,YES,YES,605,706,"4,660,435","4,054,082",0.8699
YES,*,YES,YES,*,*,*,NO,*,YES,63,706,"4,684,953","445,975",0.0952
YES,*,YES,*,*,*,*,NO,*,YES,63,706,"4,684,953","445,975",0.0952
*,YES,NO,NO,YES,NO,*,*,*,YES,149,706,"4,717,492","971,398",0.2059
*,YES,*,NO,YES,NO,*,*,*,YES,149,706,"4,717,492","971,398",0.2059
NO,NO,*,YES,YES,YES,*,*,*,YES,295,706,"3,608,264","1,420,133",0.3936
NO,*,*,*,YES,YES,*,NO,*,*,393,706,"3,307,074","1,888,964",0.5712
YES,*,NO,NO,*,NO,NO,YES,*,*,134,706,"4,888,938","951,129",0.1945
YES,*,*,NO,*,NO,NO,YES,*,*,134,706,"4,888,938","951,129",0.1945
YES,*,NO,*,YES,*,*,NO,YES,YES,641,705,"3,828,193","3,457,797",0.9032
NO,*,*,*,*,NO,NO,NO,*,YES,425,705,"3,810,448","2,239,260",0.5877
YES,YES,NO,*,YES,*,NO,NO,NO,*,1,705,"4,508,231","5,021",0.0011
NO,NO,*,*,*,NO,*,YES,NO,*,1,705,"4,621,072","5,346",0.0012
*,YES,NO,YES,*,*,NO,NO,NO,YES,0,704,"4,550,897",0,0.0000
YES,NO,*,*,*,NO,NO,*,YES,YES,617,704,"4,653,835","4,068,294",0.8742
YES,NO,YES,YES,YES,NO,NO,YES,NO,*,0,704,"6,151,256",0,0.0000
YES,NO,YES,*,YES,NO,NO,YES,NO,*,0,704,"6,151,256",0,0.0000
YES,*,NO,NO,YES,NO,*,YES,NO,*,2,704,"5,036,287","13,903",0.0028
