in,em,ba,hs,en,ag,hh,he,be,ci,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
YES,*,*,YES,*,NO,*,YES,NO,YES,6,12505,"101,583,972","23,724",0.0002
YES,NO,*,*,YES,*,*,YES,*,*,1762,12494,"91,126,611","11,995,185",0.1316
YES,YES,*,YES,*,*,NO,*,*,*,563,12492,"97,062,465","4,435,428",0.0457
*,*,*,*,*,NO,NO,YES,NO,YES,9,12490,"98,392,293","40,738",0.0004
*,YES,*,*,*,NO,*,*,NO,YES,5,12488,"98,365,833","48,717",0.0005
*,*,*,YES,*,NO,NO,YES,NO,*,8,12487,"100,148,943","35,392",0.0004
*,*,NO,*,*,NO,*,YES,*,*,2095,12487,"92,215,478","14,484,531",0.1571
YES,NO,*,*,YES,*,*,*,NO,YES,13,12477,"87,433,778","70,293",0.0008
YES,NO,*,*,YES,*,NO,*,*,*,1660,12464,"85,083,046","10,412,331",0.1224
*,YES,*,YES,*,NO,*,*,NO,*,5,12453,"99,452,052","50,946",0.0005
YES,*,*,YES,YES,NO,*,YES,NO,YES,6,12449,"101,152,572","23,724",0.0002
*,*,NO,YES,YES,NO,*,*,*,*,2210,12442,"90,767,876","14,783,342",0.1629
*,YES,*,*,*,*,NO,YES,NO,*,4,12437,"95,993,590","30,312",0.0003
YES,*,*,*,*,NO,NO,*,NO,YES,9,12419,"98,044,342","57,949",0.0006
*,*,*,*,YES,NO,NO,YES,NO,YES,9,12418,"97,824,378","40,738",0.0004
*,*,NO,YES,YES,*,*,YES,NO,*,9,12409,"88,019,739","34,212",0.0004
YES,YES,*,YES,YES,*,NO,*,*,*,546,12398,"96,267,857","4,286,703",0.0445
YES,YES,*,*,*,*,*,YES,NO,YES,2,12392,"96,859,187","11,771",0.0001
*,YES,*,*,*,NO,*,YES,NO,*,5,12387,"98,988,508","33,104",0.0003
YES,YES,*,*,*,*,NO,*,NO,*,4,12386,"95,508,842","48,942",0.0005
*,*,*,YES,YES,NO,NO,YES,NO,*,8,12379,"99,266,324","35,392",0.0004
*,YES,*,*,YES,NO,*,*,NO,YES,5,12378,"97,490,720","48,717",0.0005
*,NO,NO,*,*,*,*,*,NO,*,19,12374,"84,692,085","100,680",0.0012
*,NO,*,*,*,*,NO,YES,*,*,2476,12359,"86,347,933","15,794,609",0.1829
*,YES,*,*,YES,NO,NO,*,*,*,979,12351,"96,982,770","7,321,653",0.0755
YES,*,*,*,YES,NO,NO,*,NO,YES,9,12349,"97,519,700","57,949",0.0006
*,YES,*,YES,*,*,NO,*,NO,YES,4,12349,"94,268,394","45,925",0.0005
YES,*,*,YES,*,NO,NO,*,NO,*,10,12345,"99,240,665","62,970",0.0006
