in,em,ba,hs,en,ag,hh,he,be,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
YES,*,YES,*,YES,*,*,YES,NO,0,7537,61839835.71,0.00,0.0000
YES,*,NO,YES,*,NO,*,YES,NO,6,7533,58522301.21,23723.85,0.0004
YES,*,YES,YES,*,*,NO,*,NO,1,7527,60400576.89,25277.12,0.0004
YES,*,YES,*,*,*,NO,*,NO,1,7527,60400576.89,25277.12,0.0004
*,NO,NO,*,*,*,NO,YES,NO,13,7524,53382179.77,50818.76,0.0010
*,*,NO,*,*,*,*,*,YES,6731,7523,46249728.84,41179950.43,0.8904
*,*,*,YES,YES,YES,*,*,NO,2,7521,44899434.08,8578.34,0.0002
*,*,*,*,*,*,YES,*,*,2338,7520,53545034.98,14316970.29,0.2674
*,*,YES,YES,YES,*,NO,YES,*,281,7516,60948335.44,2293479.96,0.0376
*,*,YES,*,YES,*,NO,YES,*,281,7516,60948335.44,2293479.96,0.0376
YES,YES,NO,*,*,*,*,YES,NO,3,7499,55502153.95,21435.05,0.0004
YES,YES,NO,YES,*,*,*,*,NO,2,7499,55244799.90,14000.40,0.0003
YES,YES,NO,*,YES,NO,*,*,*,579,7489,56818970.27,4379470.74,0.0771
YES,NO,*,YES,*,*,NO,*,NO,8,7483,49355472.83,29136.36,0.0006
