in,em,ba,hs,en,ag,hh,he,be,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
NO,NO,NO,*,*,YES,NO,YES,NO,3,535,3249018.30,6449.54,0.0020
YES,YES,YES,YES,*,*,YES,YES,NO,0,535,4738313.54,0.00,0.0000
YES,YES,YES,*,*,*,YES,YES,NO,0,535,4738313.54,0.00,0.0000
NO,YES,*,*,YES,NO,NO,*,YES,436,535,3576650.09,3000054.25,0.8388
*,*,NO,NO,*,NO,NO,*,YES,481,535,3113890.83,2774533.65,0.8910
*,*,*,NO,*,NO,NO,*,YES,481,535,3113890.83,2774533.65,0.8910
YES,YES,NO,*,*,NO,NO,*,YES,453,535,4016552.76,3450944.73,0.8592
YES,YES,NO,*,*,NO,NO,NO,NO,1,534,3684086.51,5020.52,0.0014
*,NO,NO,YES,YES,*,YES,YES,NO,0,534,4159165.66,0.00,0.0000
*,*,NO,YES,*,NO,YES,YES,YES,453,534,3660624.07,3077454.23,0.8407
YES,YES,NO,YES,YES,NO,NO,NO,*,51,534,3744132.79,375833.80,0.1004
YES,NO,NO,YES,*,*,YES,YES,*,98,533,4296553.57,779174.68,0.1813
YES,NO,NO,YES,*,NO,YES,*,*,122,533,4354927.28,930699.01,0.2137
NO,*,*,*,*,*,NO,NO,NO,1,532,2703366.70,8927.44,0.0033
NO,NO,NO,*,YES,NO,NO,*,NO,2,532,3149315.51,14273.06,0.0045
*,NO,NO,NO,*,NO,*,*,NO,4,532,3510605.32,37331.19,0.0106
*,NO,*,NO,*,NO,*,*,NO,4,532,3510605.32,37331.19,0.0106
YES,YES,NO,YES,*,NO,*,YES,YES,453,532,4041186.78,3478333.22,0.8607
YES,NO,*,*,*,NO,NO,NO,NO,3,531,3332983.12,18612.33,0.0056
YES,YES,NO,YES,*,NO,*,NO,NO,1,530,3711726.25,5020.52,0.0014
YES,YES,YES,YES,YES,*,YES,YES,NO,0,530,4696195.80,0.00,0.0000
YES,YES,YES,*,YES,*,YES,YES,NO,0,530,4696195.80,0.00,0.0000
*,NO,*,*,*,NO,YES,*,YES,466,530,3370837.71,2944628.27,0.8736
*,*,NO,NO,*,NO,*,NO,*,275,530,2995653.18,1389154.93,0.4637
*,*,*,NO,*,NO,*,NO,*,275,530,2995653.18,1389154.93,0.4637
NO,*,*,YES,YES,NO,NO,NO,*,301,529,2986468.15,1689461.94,0.5657
NO,NO,*,*,*,NO,NO,NO,*,356,529,2756638.06,1815698.66,0.6587
*,NO,NO,YES,*,NO,*,NO,YES,483,528,2944566.87,2700544.11,0.9171
YES,*,NO,NO,*,*,*,NO,NO,2,527,2813258.96,20874.06,0.0074
YES,*,*,NO,*,*,*,NO,NO,2,527,2813258.96,20874.06,0.0074
NO,NO,NO,*,YES,YES,NO,YES,NO,3,527,3198570.44,6449.54,0.0020
NO,YES,*,YES,YES,NO,*,YES,YES,432,527,3605497.32,3030958.91,0.8406
NO,YES,NO,*,YES,*,YES,*,*,193,527,3332724.25,1247649.19,0.3744
*,*,NO,NO,YES,*,NO,NO,YES,500,526,2580346.29,2443082.87,0.9468
*,*,*,NO,YES,*,NO,NO,YES,500,526,2580346.29,2443082.87,0.9468
*,NO,NO,NO,*,*,NO,NO,YES,506,526,2603742.33,2512956.11,0.9651
*,NO,*,NO,*,*,NO,NO,YES,506,526,2603742.33,2512956.11,0.9651
*,NO,NO,NO,*,NO,*,*,YES,481,526,2945078.41,2678839.52,0.9096
*,NO,*,NO,*,NO,*,*,YES,481,526,2945078.41,2678839.52,0.9096
YES,YES,YES,YES,*,NO,YES,YES,NO,0,525,4682136.75,0.00,0.0000
YES,YES,YES,*,*,NO,YES,YES,NO,0,525,4682136.75,0.00,0.0000
NO,NO,NO,NO,YES,*,NO,*,NO,3,525,3008773.21,8660.89,0.0029
NO,NO,*,NO,YES,*,NO,*,NO,3,525,3008773.21,8660.89,0.0029
NO,YES,*,*,YES,*,YES,YES,*,174,525,3329008.81,1148352.65,0.3450
YES,YES,NO,YES,YES,NO,*,NO,NO,1,524,3643727.21,5020.52,0.0014
*,*,NO,*,NO,NO,*,*,*,157,524,3810787.11,1060059.70,0.2782
YES,YES,NO,*,YES,NO,NO,NO,NO,1,522,3586408.82,5020.52,0.0014
YES,NO,*,*,YES,NO,NO,NO,NO,2,522,3255640.49,8948.32,0.0027
*,NO,NO,YES,YES,NO,YES,*,NO,0,522,4147189.27,0.00,0.0000
*,NO,NO,YES,YES,NO,*,NO,YES,477,521,2902035.29,2659211.40,0.9163
YES,YES,*,YES,*,NO,NO,YES,YES,427,521,4117694.22,3458474.80,0.8399
NO,NO,*,*,YES,NO,YES,*,*,267,521,3153109.98,1485351.98,0.4711
YES,*,*,*,NO,*,*,*,*,148,521,3959189.55,1091090.37,0.2756
*,NO,NO,YES,*,NO,*,NO,NO,3,520,3177832.48,17875.76,0.0056
NO,NO,NO,YES,*,*,NO,YES,NO,1,520,3133895.69,3134.27,0.0010
YES,YES,YES,YES,YES,NO,YES,YES,NO,0,520,4640019.01,0.00,0.0000
YES,YES,YES,*,YES,NO,YES,YES,NO,0,520,4640019.01,0.00,0.0000
NO,*,*,YES,*,*,NO,NO,YES,478,520,2761292.29,2513467.25,0.9103
*,*,NO,NO,*,NO,*,YES,YES,458,520,3350045.75,2984918.18,0.8910
*,*,*,NO,*,NO,*,YES,YES,458,520,3350045.75,2984918.18,0.8910
YES,YES,NO,NO,YES,NO,*,YES,*,58,520,3785002.04,432218.36,0.1142
YES,YES,*,NO,YES,NO,*,YES,*,58,520,3785002.04,432218.36,0.1142
*,NO,NO,NO,YES,*,*,NO,NO,1,519,2580672.87,11210.05,0.0043
*,NO,*,NO,YES,*,*,NO,NO,1,519,2580672.87,11210.05,0.0043
YES,NO,NO,YES,YES,NO,YES,*,*,117,519,4264875.04,888764.52,0.2084
YES,NO,*,YES,*,NO,YES,*,NO,0,518,4334914.89,0.00,0.0000
*,*,NO,YES,YES,*,YES,YES,YES,438,518,3520490.68,2945083.59,0.8366
YES,NO,NO,YES,YES,*,YES,YES,*,93,518,4200606.47,737311.68,0.1755
NO,YES,NO,*,*,*,YES,YES,*,173,518,3260299.97,1107668.98,0.3397
*,*,NO,NO,NO,*,*,*,*,216,518,3456045.22,1368098.78,0.3959
*,*,*,NO,NO,*,*,*,*,216,518,3456045.22,1368098.78,0.3959
*,NO,NO,YES,YES,NO,*,NO,NO,3,516,3142544.42,17875.76,0.0057
NO,*,*,*,YES,*,NO,NO,NO,1,515,2591453.03,8927.44,0.0034
*,NO,NO,*,*,NO,YES,*,YES,453,515,3248754.17,2844915.89,0.8757
*,*,NO,*,YES,*,YES,NO,*,264,515,3039993.52,1519589.42,0.4999
YES,YES,NO,NO,YES,NO,*,*,NO,1,514,3676765.03,2791.17,0.0008
YES,YES,*,NO,YES,NO,*,*,NO,1,514,3676765.03,2791.17,0.0008
NO,*,NO,*,YES,NO,YES,*,YES,448,514,3071967.94,2673413.67,0.8703
YES,YES,*,YES,YES,NO,NO,YES,YES,419,513,4040905.31,3381685.90,0.8369
NO,NO,*,*,YES,NO,NO,NO,*,345,513,2671127.26,1766682.40,0.6614
YES,NO,NO,*,YES,*,NO,NO,YES,474,512,2631273.79,2413087.62,0.9171
NO,*,NO,NO,*,*,NO,NO,*,348,512,2505964.80,1749411.78,0.6981
NO,*,*,NO,*,*,NO,NO,*,348,512,2505964.80,1749411.78,0.6981
NO,NO,NO,YES,YES,*,NO,YES,NO,1,511,3082431.61,3134.27,0.0010
YES,YES,NO,YES,YES,NO,*,YES,YES,433,511,3868184.33,3322645.22,0.8590
YES,NO,NO,YES,*,NO,NO,*,YES,450,511,3396053.64,3009899.26,0.8863
NO,YES,*,*,YES,NO,YES,YES,*,169,511,3274049.87,1135329.04,0.3468
YES,NO,NO,NO,YES,NO,*,*,*,166,511,3383510.98,1041949.62,0.3079
YES,NO,*,NO,YES,NO,*,*,*,166,511,3383510.98,1041949.62,0.3079
NO,*,NO,NO,YES,*,YES,YES,NO,0,510,3224400.08,0.00,0.0000
NO,*,*,NO,YES,*,YES,YES,NO,0,510,3224400.08,0.00,0.0000
YES,YES,NO,NO,YES,*,NO,*,NO,0,509,3236990.25,0.00,0.0000
YES,YES,*,NO,YES,*,NO,*,NO,0,509,3236990.25,0.00,0.0000
NO,NO,*,YES,*,*,*,NO,YES,469,509,2683527.63,2440351.54,0.9094
*,YES,NO,NO,*,NO,NO,YES,NO,1,508,3453886.23,9664.01,0.0028
*,YES,*,NO,*,NO,NO,YES,NO,1,508,3453886.23,9664.01,0.0028
YES,NO,*,YES,YES,NO,YES,*,NO,0,508,4281990.00,0.00,0.0000
NO,NO,*,YES,*,NO,*,YES,YES,454,508,3183697.82,2841561.07,0.8925
NO,YES,NO,*,YES,NO,YES,*,*,187,508,3257434.86,1232195.51,0.3783
YES,YES,NO,*,YES,NO,NO,*,YES,425,507,3796166.51,3230558.48,0.8510
NO,YES,NO,*,*,NO,NO,*,YES,413,507,3321558.48,2759942.03,0.8309
YES,*,*,YES,*,YES,*,*,YES,437,507,3004160.15,2553564.04,0.8500
YES,YES,NO,NO,*,NO,NO,*,*,71,507,3456272.11,500637.67,0.1448
YES,YES,*,NO,*,NO,NO,*,*,71,507,3456272.11,500637.67,0.1448
YES,NO,NO,YES,YES,NO,NO,*,YES,446,506,3351620.48,2966664.97,0.8851
NO,YES,NO,*,YES,*,NO,*,YES,411,506,3253413.20,2696757.59,0.8289
YES,YES,NO,YES,*,*,NO,*,YES,426,506,3769560.42,3238850.82,0.8592
YES,NO,NO,NO,*,YES,*,NO,*,167,506,2455132.28,796867.27,0.3246
YES,NO,*,NO,*,YES,*,NO,*,167,506,2455132.28,796867.27,0.3246
NO,*,*,YES,YES,*,NO,NO,YES,462,504,2651100.80,2403275.77,0.9065
*,*,NO,YES,YES,NO,YES,YES,YES,425,504,3443110.56,2883939.50,0.8376
YES,*,NO,NO,YES,YES,*,NO,*,146,504,2380737.10,672189.79,0.2823
YES,*,*,NO,YES,YES,*,NO,*,146,504,2380737.10,672189.79,0.2823
NO,YES,NO,*,*,NO,YES,YES,*,168,504,3205341.03,1094645.37,0.3415
NO,NO,*,YES,*,*,NO,YES,YES,461,503,3139012.99,2865873.07,0.9130
NO,NO,*,*,*,NO,NO,YES,NO,1,502,3246888.82,5345.62,0.0016
NO,*,*,*,YES,NO,YES,YES,NO,0,502,3234388.77,0.00,0.0000
YES,YES,NO,*,*,*,NO,YES,YES,426,502,3756314.04,3244293.54,0.8637
NO,NO,NO,NO,YES,*,*,NO,*,356,502,2373666.28,1715622.15,0.7228
NO,NO,*,NO,YES,*,*,NO,*,356,502,2373666.28,1715622.15,0.7228
*,YES,NO,NO,YES,NO,NO,*,NO,0,501,3282118.60,0.00,0.0000
*,YES,*,NO,YES,NO,NO,*,NO,0,501,3282118.60,0.00,0.0000
*,YES,*,*,*,*,YES,*,YES,436,501,3573994.36,3120204.38,0.8730
NO,NO,NO,*,*,NO,NO,NO,*,340,500,2600516.46,1723025.86,0.6626
NO,*,NO,NO,YES,NO,NO,*,*,248,500,2751092.37,1309048.56,0.4758
NO,*,*,NO,YES,NO,NO,*,*,248,500,2751092.37,1309048.56,0.4758
*,NO,NO,YES,*,NO,YES,YES,NO,0,499,3979369.99,0.00,0.0000
NO,NO,NO,NO,*,NO,*,*,*,303,499,2724834.93,1560799.69,0.5728
NO,NO,*,NO,*,NO,*,*,*,303,499,2724834.93,1560799.69,0.5728
NO,*,NO,*,*,*,NO,NO,NO,1,496,2489788.94,8927.44,0.0036
YES,NO,NO,*,*,NO,YES,*,NO,2,496,4010035.72,22321.56,0.0056
YES,NO,*,YES,*,NO,*,NO,NO,2,495,3136304.88,8948.32,0.0029
NO,NO,*,YES,YES,NO,*,YES,YES,441,495,3094678.91,2752542.16,0.8894
*,NO,NO,NO,*,*,NO,NO,NO,1,494,2472378.68,9664.01,0.0039
*,NO,*,NO,*,*,NO,NO,NO,1,494,2472378.68,9664.01,0.0039
NO,NO,*,YES,YES,*,NO,YES,YES,452,494,3072002.68,2798862.75,0.9111
NO,*,*,YES,*,*,YES,*,NO,0,493,3108516.61,0.00,0.0000
YES,NO,*,YES,YES,NO,*,NO,NO,2,492,3109419.46,8948.32,0.0029
NO,NO,*,YES,YES,*,*,NO,YES,452,492,2572485.69,2329309.59,0.9055
*,NO,*,*,YES,NO,YES,*,YES,430,492,3101044.63,2688012.01,0.8668
NO,*,NO,NO,*,NO,*,*,YES,451,492,2727825.72,2497472.19,0.9156
NO,*,*,NO,*,NO,*,*,YES,451,492,2727825.72,2497472.19,0.9156
NO,NO,NO,*,YES,NO,YES,*,*,261,492,2936537.81,1441218.16,0.4908
YES,*,NO,NO,YES,NO,NO,YES,NO,0,491,3379865.15,0.00,0.0000
YES,*,*,NO,YES,NO,NO,YES,NO,0,491,3379865.15,0.00,0.0000
NO,*,NO,*,*,NO,YES,YES,NO,0,491,3151509.90,0.00,0.0000
YES,NO,NO,YES,*,*,NO,YES,YES,421,491,3357616.51,2918376.27,0.8692
YES,*,NO,YES,*,*,*,NO,YES,438,490,2820849.13,2524392.55,0.8949
*,*,*,*,NO,NO,*,YES,*,128,490,3672233.60,891021.40,0.2426
NO,*,YES,YES,*,*,*,YES,*,116,490,3544273.27,899491.37,0.2538
NO,*,YES,*,*,*,*,YES,*,116,490,3544273.27,899491.37,0.2538
NO,*,NO,YES,*,NO,NO,NO,*,282,489,2764168.39,1574004.09,0.5694
YES,YES,NO,YES,YES,*,NO,*,YES,410,488,3610968.31,3094807.28,0.8571
YES,*,*,YES,YES,YES,*,*,YES,420,488,2835950.69,2399903.17,0.8462
YES,NO,*,YES,*,NO,*,YES,YES,414,487,3721839.12,3152463.73,0.8470
NO,YES,NO,YES,*,*,*,YES,YES,393,487,3241675.12,2655922.27,0.8193
YES,YES,NO,NO,YES,*,NO,YES,*,52,487,3236496.87,370489.91,0.1145
YES,YES,*,NO,YES,*,NO,YES,*,52,487,3236496.87,370489.91,0.1145
NO,NO,*,*,YES,NO,NO,YES,NO,1,486,3127782.60,5345.62,0.0017
YES,NO,*,YES,*,NO,YES,YES,NO,0,486,4103152.95,0.00,0.0000
NO,*,NO,*,YES,NO,YES,*,NO,0,486,3122004.73,0.00,0.0000
NO,YES,*,YES,*,*,NO,*,YES,393,486,3283212.60,2737859.91,0.8339
NO,NO,NO,*,YES,NO,NO,NO,*,331,486,2532903.62,1691907.57,0.6680
*,*,NO,NO,YES,NO,YES,YES,*,150,486,3389406.02,973537.06,0.2872
*,*,*,NO,YES,NO,YES,YES,*,150,486,3389406.02,973537.06,0.2872
YES,*,NO,NO,YES,*,*,NO,NO,1,485,2538079.16,11210.05,0.0044
YES,*,*,NO,YES,*,*,NO,NO,1,485,2538079.16,11210.05,0.0044
NO,NO,NO,NO,*,*,YES,*,NO,0,485,3061723.05,0.00,0.0000
NO,NO,*,NO,*,*,YES,*,NO,0,485,3061723.05,0.00,0.0000
YES,NO,NO,YES,YES,*,NO,YES,YES,415,485,3307555.57,2868315.33,0.8672
YES,*,NO,NO,*,YES,NO,NO,*,133,485,2371046.69,652160.07,0.2751
YES,*,*,NO,*,YES,NO,NO,*,133,485,2371046.69,652160.07,0.2751
NO,*,YES,YES,*,*,NO,*,*,142,485,3441892.26,1018838.64,0.2960
NO,*,YES,*,*,*,NO,*,*,142,485,3441892.26,1018838.64,0.2960
NO,YES,*,*,*,*,NO,YES,YES,391,484,3263334.57,2717875.55,0.8329
*,YES,*,*,*,NO,YES,*,YES,421,484,3475310.03,3036208.94,0.8737
NO,*,NO,YES,YES,NO,NO,NO,*,279,484,2733709.27,1563883.75,0.5721
YES,*,*,YES,*,*,NO,NO,YES,435,483,2800240.04,2507973.99,0.8956
*,NO,NO,NO,YES,*,NO,NO,YES,462,482,2332550.11,2241763.89,0.9611
*,NO,*,NO,YES,*,NO,NO,YES,462,482,2332550.11,2241763.89,0.9611
*,NO,NO,NO,YES,NO,*,*,YES,440,482,2675508.25,2426075.06,0.9068
*,NO,*,NO,YES,NO,*,*,YES,440,482,2675508.25,2426075.06,0.9068
YES,NO,NO,*,*,NO,*,NO,NO,4,481,3031122.18,29822.38,0.0098
YES,YES,NO,NO,*,*,NO,YES,NO,1,481,3185786.24,9664.01,0.0030
YES,YES,*,NO,*,*,NO,YES,NO,1,481,3185786.24,9664.01,0.0030
NO,*,*,YES,*,YES,*,*,NO,1,481,2578047.05,3134.27,0.0012
NO,*,YES,YES,*,NO,*,*,*,123,481,3470023.38,950648.59,0.2740
NO,*,YES,*,*,NO,*,*,*,123,481,3470023.38,950648.59,0.2740
NO,*,NO,*,YES,*,NO,NO,NO,1,480,2388061.85,8927.44,0.0037
*,NO,NO,YES,YES,NO,YES,YES,NO,0,480,3872928.71,0.00,0.0000
NO,NO,*,*,*,NO,*,NO,YES,445,480,2498631.83,2293442.17,0.9179
YES,NO,*,YES,YES,NO,*,YES,YES,407,480,3667032.25,3097656.85,0.8447
*,*,NO,*,NO,*,*,*,NO,2,479,3518939.88,19328.03,0.0055
NO,YES,NO,YES,*,NO,*,YES,YES,388,479,3197011.19,2630767.85,0.8229
*,*,NO,NO,YES,NO,NO,*,YES,426,479,2778142.75,2442414.44,0.8792
*,*,*,NO,YES,NO,NO,*,YES,426,479,2778142.75,2442414.44,0.8792
NO,YES,NO,*,YES,NO,NO,*,YES,388,479,3131490.72,2596473.08,0.8291
*,NO,YES,YES,*,*,*,NO,*,80,479,2987293.74,476931.58,0.1597
*,NO,YES,*,*,*,*,NO,*,80,479,2987293.74,476931.58,0.1597
*,NO,NO,NO,YES,NO,*,*,NO,3,478,3109205.15,27667.18,0.0089
*,NO,*,NO,YES,NO,*,*,NO,3,478,3109205.15,27667.18,0.0089
YES,YES,NO,*,YES,*,NO,YES,YES,403,478,3550546.53,3047816.63,0.8584
YES,NO,NO,YES,*,NO,YES,YES,*,92,478,3981167.75,735215.83,0.1847
NO,*,YES,YES,YES,*,*,YES,*,111,478,3461890.17,862648.03,0.2492
NO,*,YES,*,YES,*,*,YES,*,111,478,3461890.17,862648.03,0.2492
NO,YES,*,YES,*,*,YES,*,*,157,478,3044597.93,1039767.61,0.3415
NO,YES,NO,NO,*,*,*,*,*,167,478,2943697.57,1019045.28,0.3462
NO,YES,*,NO,*,*,*,*,*,167,478,2943697.57,1019045.28,0.3462
YES,NO,*,YES,YES,NO,YES,YES,NO,0,477,4055828.46,0.00,0.0000
*,NO,NO,*,YES,NO,YES,*,YES,417,477,2978961.08,2588299.63,0.8689
*,NO,NO,YES,*,NO,NO,NO,NO,3,476,2889568.89,17875.76,0.0062
NO,YES,*,YES,YES,*,NO,*,YES,386,476,3206260.70,2687506.81,0.8382
*,*,NO,*,NO,*,NO,*,*,183,476,3410787.37,1244356.46,0.3648
YES,YES,NO,YES,*,NO,NO,NO,NO,1,475,3339332.42,5020.52,0.0015
*,*,NO,NO,*,YES,*,NO,NO,0,475,2259960.50,0.00,0.0000
*,*,*,NO,*,YES,*,NO,NO,0,475,2259960.50,0.00,0.0000
YES,NO,NO,*,YES,NO,YES,*,NO,2,475,3877216.20,22321.56,0.0058
*,NO,NO,YES,YES,NO,NO,NO,NO,3,474,2868283.87,17875.76,0.0062
NO,*,NO,YES,*,*,NO,NO,YES,433,474,2486277.72,2246055.11,0.9034
YES,*,NO,YES,YES,*,*,NO,YES,424,474,2690083.16,2400083.44,0.8922
NO,YES,NO,YES,YES,*,*,YES,YES,384,474,3143871.89,2591402.18,0.8243
*,*,NO,NO,YES,NO,*,NO,*,254,474,2655172.79,1274634.60,0.4801
*,*,*,NO,YES,NO,*,NO,*,254,474,2655172.79,1274634.60,0.4801
YES,*,NO,NO,*,*,NO,NO,NO,1,473,2471538.89,9664.01,0.0039
YES,*,*,NO,*,*,NO,NO,NO,1,473,2471538.89,9664.01,0.0039
NO,*,*,*,*,NO,NO,NO,YES,439,473,2517700.46,2325156.41,0.9235
NO,*,YES,YES,YES,NO,*,*,*,119,473,3406861.40,916549.94,0.2690
NO,*,YES,*,YES,NO,*,*,*,119,473,3406861.40,916549.94,0.2690
YES,NO,NO,YES,*,*,YES,*,NO,0,472,3679102.64,0.00,0.0000
*,NO,YES,YES,YES,*,*,NO,*,75,471,2917436.40,427620.60,0.1466
*,NO,YES,*,YES,*,*,NO,*,75,471,2917436.40,427620.60,0.1466
NO,*,YES,YES,YES,*,NO,*,*,135,471,3325553.72,951808.00,0.2862
NO,*,YES,*,YES,*,NO,*,*,135,471,3325553.72,951808.00,0.2862
YES,YES,NO,YES,YES,NO,NO,NO,NO,1,470,3282588.68,5020.52,0.0015
NO,NO,NO,YES,*,NO,*,YES,NO,0,470,2977742.07,0.00,0.0000
NO,*,*,YES,YES,YES,*,*,NO,1,470,2503547.90,3134.27,0.0013
*,NO,NO,NO,YES,*,NO,NO,NO,0,469,2306862.74,0.00,0.0000
*,NO,*,NO,YES,*,NO,NO,NO,0,469,2306862.74,0.00,0.0000
YES,NO,NO,*,YES,NO,*,NO,NO,3,469,2932631.01,20158.37,0.0069
NO,NO,NO,YES,*,*,*,NO,YES,430,468,2427754.65,2203225.23,0.9075
NO,NO,NO,YES,*,NO,*,YES,YES,416,468,2887823.66,2564110.36,0.8879
*,*,YES,YES,*,*,NO,*,YES,386,468,3567413.65,2960123.82,0.8298
*,*,YES,*,*,*,NO,*,YES,386,468,3567413.65,2960123.82,0.8298
NO,*,NO,NO,YES,*,NO,NO,*,318,468,2232904.82,1557740.12,0.6976
NO,*,*,NO,YES,*,NO,NO,*,318,468,2232904.82,1557740.12,0.6976
NO,YES,*,YES,*,NO,YES,*,*,156,468,3010360.08,1037337.54,0.3446
YES,*,*,YES,YES,*,NO,NO,YES,421,467,2672602.39,2386793.20,0.8931
YES,*,*,YES,*,YES,NO,*,YES,403,467,2723119.26,2326773.69,0.8545
NO,YES,NO,*,YES,*,YES,YES,*,161,467,2939179.36,1036419.30,0.3526
NO,NO,NO,NO,YES,*,YES,*,NO,0,466,2940552.57,0.00,0.0000
NO,NO,*,NO,YES,*,YES,*,NO,0,466,2940552.57,0.00,0.0000
*,NO,*,YES,*,NO,NO,NO,YES,430,466,2576029.38,2376258.81,0.9225
NO,YES,*,*,*,NO,NO,YES,YES,377,466,3167768.66,2645138.01,0.8350
NO,YES,NO,YES,YES,NO,*,YES,YES,379,466,3099207.96,2566247.76,0.8280
NO,YES,*,YES,*,NO,NO,*,YES,377,466,3185253.82,2662729.49,0.8360
YES,NO,NO,YES,YES,NO,YES,YES,*,88,466,3904698.70,701264.12,0.1796
NO,*,*,YES,YES,*,YES,*,NO,0,465,2919296.16,0.00,0.0000
NO,NO,*,*,YES,NO,*,NO,YES,429,464,2416950.17,2211760.50,0.9151
YES,NO,*,YES,*,NO,NO,NO,NO,2,463,2904542.95,8948.32,0.0031
YES,NO,NO,NO,YES,YES,*,NO,*,142,463,2196396.50,648557.11,0.2953
YES,NO,*,NO,YES,YES,*,NO,*,142,463,2196396.50,648557.11,0.2953
NO,*,NO,YES,YES,*,NO,NO,YES,421,462,2416523.48,2176300.87,0.9006
YES,NO,*,*,*,NO,NO,YES,YES,393,462,3386277.77,2895959.34,0.8552
YES,NO,*,YES,YES,NO,NO,NO,NO,2,461,2883257.92,8948.32,0.0031
NO,*,*,*,YES,NO,NO,NO,YES,427,461,2463173.42,2270629.36,0.9218
NO,NO,NO,*,*,NO,*,NO,YES,427,461,2376662.54,2182517.12,0.9183
NO,NO,*,YES,*,NO,*,NO,*,299,461,2557090.37,1651653.41,0.6459
YES,*,NO,*,NO,*,*,*,*,144,461,3458719.09,1058697.10,0.3061
NO,NO,NO,NO,*,*,YES,YES,NO,0,460,2909238.40,0.00,0.0000
NO,NO,*,NO,*,*,YES,YES,NO,0,460,2909238.40,0.00,0.0000
YES,NO,NO,*,*,NO,YES,YES,NO,1,459,3731216.14,11111.51,0.0030
NO,*,NO,NO,*,YES,NO,*,NO,2,459,2639668.00,3315.27,0.0013
NO,*,*,NO,*,YES,NO,*,NO,2,459,2639668.00,3315.27,0.0013
NO,*,*,YES,*,NO,YES,*,NO,0,459,2957246.19,0.00,0.0000
*,NO,*,YES,YES,NO,NO,NO,YES,424,459,2524433.07,2325861.38,0.9213
*,*,YES,YES,YES,*,NO,*,YES,377,459,3486827.95,2879538.12,0.8258
*,*,YES,*,YES,*,NO,*,YES,377,459,3486827.95,2879538.12,0.8258
NO,YES,*,YES,YES,*,YES,*,*,153,459,2906079.98,1012675.53,0.3485
NO,*,*,*,*,YES,YES,*,NO,0,458,2821129.02,0.00,0.0000
YES,NO,NO,YES,YES,*,YES,*,NO,0,458,3601267.69,0.00,0.0000
*,YES,*,*,YES,*,YES,*,YES,396,458,3288604.35,2866485.26,0.8716
NO,*,NO,*,*,YES,YES,*,NO,0,457,2819659.64,0.00,0.0000
NO,YES,*,*,YES,*,NO,YES,YES,367,457,3078777.59,2559917.38,0.8315
NO,NO,NO,YES,YES,NO,*,YES,YES,404,456,2809425.00,2485711.70,0.8848
*,*,*,YES,*,YES,*,YES,YES,392,456,2759019.05,2368259.52,0.8584
NO,YES,*,YES,YES,NO,NO,*,YES,370,456,3108301.91,2612376.40,0.8405
*,NO,YES,YES,*,*,NO,NO,*,73,456,2841109.02,435085.65,0.1531
*,NO,YES,*,*,*,NO,NO,*,73,456,2841109.02,435085.65,0.1531
NO,NO,NO,YES,YES,*,*,NO,YES,417,455,2357149.95,2132620.53,0.9047
NO,NO,*,*,*,*,*,NO,NO,1,454,2230526.58,8927.44,0.0040
YES,YES,NO,YES,*,NO,NO,*,YES,383,454,3437329.26,2959971.07,0.8611
NO,NO,*,YES,YES,NO,*,NO,*,293,454,2519818.97,1622784.64,0.6440
YES,NO,*,*,YES,NO,NO,YES,YES,384,453,3324128.71,2833810.28,0.8525
YES,*,NO,NO,YES,YES,NO,NO,*,117,453,2178061.27,554546.68,0.2546
YES,*,*,NO,YES,YES,NO,NO,*,117,453,2178061.27,554546.68,0.2546
NO,YES,NO,*,YES,NO,YES,YES,*,156,453,2884220.42,1023395.70,0.3548
YES,YES,NO,NO,YES,NO,*,YES,NO,1,452,3277420.49,2791.17,0.0009
YES,YES,*,NO,YES,NO,*,YES,NO,1,452,3277420.49,2791.17,0.0009
NO,NO,NO,YES,YES,NO,*,YES,NO,0,452,2875091.37,0.00,0.0000
YES,*,*,YES,YES,YES,NO,*,YES,390,452,2587836.77,2206039.77,0.8525
*,*,*,*,NO,*,*,YES,NO,1,451,3382401.72,9664.01,0.0029
*,*,NO,NO,*,NO,YES,*,NO,3,451,3290023.03,25112.73,0.0076
*,*,*,NO,*,NO,YES,*,NO,3,451,3290023.03,25112.73,0.0076
NO,NO,*,*,*,NO,NO,YES,YES,409,451,2869817.36,2594947.90,0.9042
NO,*,*,*,*,YES,*,NO,YES,430,450,2251814.84,2153279.52,0.9562
YES,YES,NO,*,*,NO,NO,YES,YES,385,450,3419580.91,2974028.85,0.8697
NO,*,NO,*,*,NO,NO,NO,YES,415,449,2374224.31,2181680.25,0.9189
*,NO,YES,YES,YES,*,NO,NO,*,68,449,2779333.65,385774.67,0.1388
*,NO,YES,*,YES,*,NO,NO,*,68,449,2779333.65,385774.67,0.1388
NO,YES,*,YES,YES,NO,YES,*,*,152,449,2871842.13,1010245.46,0.3518
NO,NO,NO,NO,YES,NO,*,*,*,277,449,2401202.42,1411792.61,0.5880
NO,NO,*,NO,YES,NO,*,*,*,277,449,2401202.42,1411792.61,0.5880
*,YES,*,*,NO,*,*,*,*,101,449,3372183.32,702184.02,0.2082
*,*,NO,NO,YES,YES,*,NO,NO,0,448,2091776.51,0.00,0.0000
*,*,*,NO,YES,YES,*,NO,NO,0,448,2091776.51,0.00,0.0000
YES,*,*,*,*,NO,*,NO,YES,402,448,2785966.84,2493338.97,0.8950
