in,em,ba,hs,en,ag,hh,he,be,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
NO,*,NO,NO,*,*,YES,YES,*,70,159,1064849.44,489090.71,0.4593
NO,*,*,NO,*,*,YES,YES,*,70,159,1064849.44,489090.71,0.4593
YES,*,NO,NO,*,NO,NO,*,*,27,159,1162347.48,212074.89,0.1825
YES,*,*,NO,*,NO,NO,*,*,27,159,1162347.48,212074.89,0.1825
*,YES,NO,NO,*,NO,NO,YES,NO,1,158,1143650.54,9664.01,0.0085
*,YES,*,NO,*,NO,NO,YES,NO,1,158,1143650.54,9664.01,0.0085
YES,NO,*,YES,*,NO,*,YES,NO,0,158,1664456.13,0.00,0.0000
*,*,NO,NO,NO,NO,*,*,NO,2,158,1126292.66,19328.03,0.0172
*,*,*,NO,NO,NO,*,*,NO,2,158,1126292.66,19328.03,0.0172
YES,NO,*,YES,YES,*,*,*,NO,0,158,1627071.13,0.00,0.0000
*,*,*,*,YES,*,NO,*,YES,135,158,1323323.23,1133441.38,0.8565
NO,YES,NO,*,*,NO,NO,YES,*,33,158,1163586.06,245717.31,0.2112
*,NO,NO,*,YES,*,YES,YES,*,60,158,1165285.67,443281.97,0.3804
NO,*,NO,YES,YES,NO,*,YES,*,40,158,1207978.74,305038.76,0.2525
NO,YES,*,YES,*,NO,*,YES,*,33,158,1169809.52,282938.30,0.2419
*,YES,*,*,NO,*,NO,*,*,35,158,1158960.46,243075.70,0.2097
NO,*,NO,*,*,NO,NO,YES,NO,0,157,1159844.55,0.00,0.0000
*,NO,*,YES,YES,*,NO,YES,NO,0,157,1615737.59,0.00,0.0000
YES,YES,*,*,*,*,YES,YES,NO,0,157,1296921.44,0.00,0.0000
YES,YES,NO,YES,*,*,NO,*,NO,1,157,1396513.49,5020.52,0.0036
YES,NO,*,YES,*,*,NO,*,NO,0,157,1647685.33,0.00,0.0000
NO,*,*,*,*,NO,YES,*,NO,0,157,1101709.75,0.00,0.0000
NO,*,*,YES,YES,*,*,*,NO,0,157,1183122.72,0.00,0.0000
*,YES,*,YES,*,*,YES,YES,*,32,157,1251858.54,236062.08,0.1886
NO,*,NO,NO,YES,NO,*,YES,*,51,157,1113173.34,397329.80,0.3569
NO,*,*,NO,YES,NO,*,YES,*,51,157,1113173.34,397329.80,0.3569
*,*,NO,NO,YES,YES,*,*,*,59,157,1120991.27,361740.46,0.3227
*,*,*,NO,YES,YES,*,*,*,59,157,1120991.27,361740.46,0.3227
NO,*,*,*,*,*,YES,YES,NO,0,156,1054145.14,0.00,0.0000
*,YES,NO,*,NO,NO,*,YES,NO,1,156,1181011.22,9664.01,0.0082
YES,NO,*,*,YES,NO,*,YES,NO,0,156,1591056.02,0.00,0.0000
*,*,NO,*,*,*,NO,YES,YES,137,156,1186375.00,1042509.02,0.8787
*,YES,NO,*,*,*,*,YES,YES,136,156,1165573.85,1030053.84,0.8837
*,*,NO,*,NO,NO,NO,YES,*,38,156,1143372.00,253187.82,0.2214
*,NO,NO,*,*,NO,NO,YES,*,38,156,1286158.86,306544.03,0.2383
YES,YES,NO,*,*,NO,YES,YES,*,28,156,1244040.61,216952.93,0.1744
*,*,*,*,NO,NO,YES,*,*,46,156,1099965.77,308028.19,0.2800
NO,*,*,*,NO,NO,*,*,*,52,156,1036264.19,321710.74,0.3105
YES,NO,*,YES,YES,NO,*,*,*,15,156,1630831.61,135835.69,0.0833
*,NO,NO,*,NO,*,*,*,*,71,156,1047322.34,464232.60,0.4433
NO,YES,*,*,*,*,NO,*,NO,0,155,1118340.10,0.00,0.0000
NO,*,*,*,YES,*,*,YES,YES,135,155,1164772.65,1017469.61,0.8735
YES,NO,NO,*,*,*,NO,YES,*,26,155,1371286.23,229378.62,0.1673
YES,YES,NO,YES,YES,*,NO,*,*,14,155,1380937.56,122888.14,0.0890
NO,YES,*,*,*,*,YES,*,*,52,155,1083622.44,356721.06,0.3292
NO,*,*,*,YES,*,NO,YES,NO,0,154,1095913.66,0.00,0.0000
YES,*,*,*,YES,*,YES,YES,NO,0,154,1268319.71,0.00,0.0000
*,*,NO,NO,NO,*,*,YES,NO,1,154,1113128.96,9664.01,0.0087
*,*,*,NO,NO,*,*,YES,NO,1,154,1113128.96,9664.01,0.0087
NO,NO,*,*,*,*,*,*,NO,0,154,1046002.23,0.00,0.0000
NO,*,NO,*,*,NO,*,YES,YES,130,154,1114372.99,941951.62,0.8453
NO,*,NO,NO,*,*,NO,YES,*,51,154,1014160.12,306740.18,0.3025
